,title,year,kind,genre,rating,runtime
201,Dil Chahta Hai,2001,movie,"['Comedy', 'Drama', 'Romance']",8.1,165
202,Rescue from Gilligan's Island,1978,tv movie,['Comedy'],5.3,94
203,Monkeybone,2001,movie,"['Animation', 'Comedy', 'Fantasy']",4.8,115
204,Yojimbo,1961,movie,"['Action', 'Drama', 'Thriller']",8.2,127
205,Angel on Fire,1995,movie,['Action'],4.7,80
206,America's Dream,1996,tv movie,['Drama'],6.1,84
207,Judaai,1997,movie,"['Comedy', 'Drama', 'Romance']",6.1,40
208,My Scene Goes Hollywood: The Movie,2005,video movie,['Animation'],6.3,90
209,Le Petit Soldat,1963,movie,"['Drama', 'War']",7.2,104
210,The Eye 2,2004,movie,"['Drama', 'Horror', 'Mystery', 'Thriller']",5.7,375
211,Frank Sinatra: The Main Event,1974,movie,"['Documentary', 'Music']",8.0,116
212,Attack of the Killer Tomatoes!,1978,movie,"['Adventure', 'Comedy', 'Horror', 'Musical', 'Sci-Fi']",4.7,97
213,Lawn Dogs,1997,movie,['Drama'],7.5,98
214,Forgotten Silver,1995,tv movie,['Comedy'],7.5,51
215,For Keeps?,1988,movie,"['Comedy', 'Drama', 'Romance']",6.0,128
216,Aimee & Jaguar,1999,movie,"['Biography', 'Drama', 'Romance', 'War']",7.2,37
217,Odin,1985,movie,"['Animation', 'Sci-Fi']",5.4,95
218,The Duellists,1977,movie,"['Drama', 'War']",7.4,82
219,"Play It Again, Sam",1972,movie,"['Comedy', 'Romance']",7.6,85
220,The Matrix Revolutions,2003,movie,"['Action', 'Sci-Fi']",6.8,108
221,Superman,1978,movie,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",7.3,105
222,Earth vs. the Flying Saucers,1956,movie,"['Action', 'Horror', 'Sci-Fi']",6.4,93
223,Ringu,1998,movie,"['Horror', 'Mystery']",7.2,103
224,The Gambler Returns: The Luck of the Draw,1991,tv movie,['Western'],6.7,60
225,Hysterical Blindness,2002,tv movie,['Drama'],6.4,97
226,Flood: A River's Rampage,1998,tv movie,['Drama'],4.6,65
227,The Land Before Time VII: The Stone of Cold Fire,2000,video movie,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",6.0,30
228,"Vendetta: No Conscience, No Mercy",2004,movie,"['Crime', 'Drama', 'Action']",4.8,96
229,The Battle of Algiers,1966,movie,"['Drama', 'War']",8.1,90
230,Confidentially Yours,1983,movie,"['Comedy', 'Crime', 'Mystery', 'Thriller']",7.2,98
231,The Slipper and the Rose: The Story of Cinderella,1976,movie,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",7.0,97
232,Virtual Girl,1998,video movie,"['Sci-Fi', 'Thriller']",3.7,86
233,Hammers Over the Anvil,1993,movie,"['Biography', 'Drama', 'Romance']",5.8,115
234,Moscow Does Not Believe in Tears,1980,movie,"['Comedy', 'Drama', 'Romance']",8.1,85
235,Quest for Fire,1981,movie,"['Adventure', 'Drama', 'History']",7.3,83
236,MVP 2: Most Vertical Primate,2001,movie,"['Comedy', 'Family', 'Sport']",4.0,99
237,Clive Barker's Salomé & the Forbidden,1998,video movie,['Horror'],6.1,118
238,Romeo Is Bleeding,1993,movie,"['Crime', 'Drama', 'Romance']",6.6,142
239,To Gillian on Her 37th Birthday,1996,movie,"['Drama', 'Fantasy', 'Romance']",5.8,110
240,Kyun! Ho Gaya Na...,2004,movie,"['Comedy', 'Drama', 'Romance']",4.2,96
241,To the Lighthouse,1983,tv movie,['Drama'],6.4,41
